Date,Open,High,Low,Close,Adj Close,Volume
2017-06-29,1379.000000,1394.849976,1366.500000,1376.300049,1372.757324,726869
2017-06-30,1367.599976,1380.000000,1352.500000,1373.099976,1369.565552,496260
2017-07-03,1380.000000,1390.000000,1366.500000,1387.150024,1383.579346,446514
2017-07-04,1390.000000,1408.750000,1376.550049,1379.550049,1375.999023,704342
2017-07-05,1375.000000,1407.000000,1370.099976,1398.550049,1394.950073,643929
2017-07-06,1398.900024,1413.500000,1392.349976,1399.300049,1399.300049,418130
2017-07-07,1398.500000,1403.599976,1387.400024,1391.699951,1391.699951,202005
2017-07-10,1405.599976,1415.050049,1395.099976,1412.800049,1412.800049,149650
2017-07-11,1419.400024,1431.000000,1409.599976,1419.199951,1419.199951,665556
2017-07-12,1424.500000,1452.000000,1420.000000,1443.699951,1443.699951,654934
2017-07-13,1452.000000,1489.500000,1450.900024,1485.900024,1485.900024,1011798
2017-07-14,1485.000000,1508.650024,1470.650024,1499.400024,1499.400024,570522
2017-07-17,1504.949951,1549.699951,1488.050049,1538.500000,1538.500000,947006
2017-07-18,1537.949951,1545.150024,1507.000000,1512.349976,1512.349976,501708
2017-07-19,1519.650024,1577.400024,1515.000000,1541.849976,1541.849976,2655273
2017-07-20,1551.000000,1608.000000,1547.099976,1595.349976,1595.349976,2169635
2017-07-21,1598.900024,1631.500000,1585.000000,1621.349976,1621.349976,1380541
2017-07-24,1633.000000,1637.300049,1587.949951,1597.400024,1597.400024,835475
2017-07-25,1606.900024,1632.900024,1600.000000,1627.500000,1627.500000,813854
2017-07-26,1636.000000,1695.750000,1630.000000,1687.150024,1687.150024,1475906
2017-07-27,1704.000000,1739.800049,1671.099976,1679.349976,1679.349976,1955562
2017-07-28,1672.000000,1710.900024,1662.550049,1701.349976,1701.349976,926268
2017-07-31,1718.000000,1724.000000,1697.599976,1703.099976,1703.099976,576928
2017-08-01,1709.900024,1727.900024,1706.050049,1716.250000,1716.250000,692591
2017-08-02,1724.949951,1726.199951,1691.099976,1707.199951,1707.199951,396171
2017-08-03,1714.000000,1729.000000,1698.050049,1701.750000,1701.750000,775709
2017-08-04,1704.900024,1730.000000,1701.050049,1723.449951,1723.449951,710636
2017-08-07,1735.500000,1805.949951,1729.599976,1798.150024,1798.150024,1504033
2017-08-08,1813.000000,1829.500000,1772.000000,1779.800049,1779.800049,1761065
2017-08-09,1769.900024,1769.900024,1682.550049,1697.699951,1697.699951,1899560
2017-08-10,1680.000000,1689.900024,1610.050049,1635.599976,1635.599976,1835002
2017-08-11,1590.000000,1732.599976,1590.000000,1695.400024,1695.400024,3505576
2017-08-14,1721.300049,1742.349976,1705.000000,1710.900024,1710.900024,1311855
2017-08-16,1730.000000,1730.000000,1683.199951,1721.349976,1721.349976,705754
2017-08-17,1730.000000,1762.500000,1720.500000,1728.750000,1728.750000,729269
2017-08-18,1710.000000,1722.900024,1688.500000,1704.949951,1704.949951,932335
2017-08-21,1704.949951,1731.000000,1678.550049,1690.599976,1690.599976,1090057
2017-08-22,1708.000000,1713.599976,1662.550049,1682.900024,1682.900024,654334
2017-08-23,1695.900024,1784.699951,1695.900024,1779.300049,1779.300049,1825088
2017-08-24,1791.400024,1797.699951,1752.800049,1760.099976,1760.099976,1324532
2017-08-28,1773.500000,1837.400024,1767.000000,1829.949951,1829.949951,1347345
2017-08-29,1835.000000,1835.000000,1762.000000,1773.400024,1773.400024,1482257
2017-08-30,1798.000000,1819.400024,1777.050049,1788.050049,1788.050049,1064601
2017-08-31,1797.400024,1805.699951,1770.000000,1781.900024,1781.900024,1116765
2017-09-01,1790.000000,1807.000000,1790.000000,1799.949951,1799.949951,489396
2017-09-04,1797.949951,1820.000000,1775.550049,1801.349976,1801.349976,658965
2017-09-05,1809.849976,1815.300049,1784.550049,1794.400024,1794.400024,741229
2017-09-06,1782.000000,1883.000000,1777.699951,1858.949951,1858.949951,2742892
2017-09-07,1880.000000,1985.900024,1871.150024,1963.199951,1963.199951,4271734
2017-09-08,1970.000000,1974.949951,1881.000000,1891.199951,1891.199951,2856329
2017-09-11,1900.000000,1935.449951,1898.050049,1920.449951,1920.449951,1098804
2017-09-12,1935.000000,1935.000000,1886.599976,1894.400024,1894.400024,1473997
2017-09-13,1895.000000,1924.699951,1895.000000,1907.150024,1907.150024,810810
2017-09-14,1913.000000,1935.500000,1901.000000,1909.900024,1909.900024,951870
2017-09-15,1895.599976,1912.099976,1881.400024,1902.750000,1902.750000,922149
2017-09-18,1916.000000,1929.250000,1906.599976,1911.650024,1911.650024,430947
2017-09-19,1924.099976,1928.699951,1904.050049,1911.800049,1911.800049,598020
2017-09-20,1918.800049,1918.849976,1900.000000,1904.900024,1904.900024,377551
2017-09-21,1908.000000,1926.000000,1871.550049,1919.500000,1919.500000,754880
2017-09-22,1910.000000,1910.000000,1847.000000,1863.150024,1863.150024,1772943
2017-09-25,1859.949951,1859.949951,1759.000000,1796.000000,1796.000000,1826884
2017-09-26,1796.000000,1862.800049,1780.949951,1840.099976,1840.099976,1044947
2017-09-27,1859.000000,1859.000000,1795.250000,1806.750000,1806.750000,764148
2017-09-28,1817.000000,1855.000000,1791.000000,1842.849976,1842.849976,3925555
2017-09-29,1857.949951,1875.000000,1830.349976,1838.050049,1838.050049,1216964
2017-10-03,1860.000000,1873.500000,1831.699951,1867.800049,1867.800049,975293
2017-10-04,1879.949951,1879.949951,1852.000000,1862.650024,1862.650024,538069
2017-10-05,1865.000000,1885.500000,1855.400024,1866.199951,1866.199951,398463
2017-10-06,1880.000000,1934.550049,1868.400024,1923.599976,1923.599976,1227615
2017-10-09,1928.000000,1954.000000,1916.000000,1941.300049,1941.300049,999574
2017-10-10,1944.000000,1959.400024,1943.000000,1950.800049,1950.800049,517117
2017-10-11,1967.000000,1967.000000,1901.949951,1923.550049,1923.550049,726978
