Date,Open,High,Low,Close,Adj Close,Volume
2013-02-12,454.000000,454.000000,447.690002,450.950012,401.077911,208800
2013-02-13,452.399994,452.489990,446.054993,447.105011,397.658081,330480
2013-02-14,447.510010,454.779999,445.200012,452.609985,402.554291,1626580
2013-02-15,451.195007,457.500000,451.195007,454.239990,404.003967,384090
2013-02-18,451.500000,453.769989,448.345001,450.410004,400.597595,393310
2013-02-19,449.000000,459.899994,448.019989,455.890015,405.471527,407070
2013-02-20,457.989990,459.769989,453.339996,455.549988,405.169128,856240
2013-02-21,454.875000,456.045013,448.214996,451.364990,401.446930,548690
2013-02-22,450.209991,455.269989,447.545013,453.730011,403.550415,684190
2013-02-25,455.799988,455.799988,449.100006,450.214996,400.424164,477940
2013-02-26,449.700012,449.899994,437.019989,440.010010,391.347809,597970
2013-02-27,438.109985,442.399994,433.589996,435.804993,387.607788,587380
2013-02-28,438.000000,443.470001,422.500000,427.220001,379.972229,1592310
2013-03-01,429.899994,438.500000,427.010010,435.910004,387.701202,772430
2013-03-04,433.100006,436.000000,427.500000,432.989990,385.104156,721440
2013-03-05,434.700012,445.000000,429.200012,443.489990,394.442871,785270
2013-03-06,444.225006,448.000000,441.799988,446.320007,396.959930,591600
2013-03-07,442.505005,461.209991,442.505005,458.545013,407.832916,977840
2013-03-08,459.214996,468.799988,459.214996,466.660004,415.050446,608210
2013-03-11,466.500000,477.500000,464.790009,475.674988,423.068451,1244470
2013-03-12,476.100006,477.000000,472.345001,475.239990,422.681580,787720
2013-03-13,472.500000,482.964996,472.015015,479.079987,426.096893,1453120
2013-03-14,478.130005,494.500000,478.000000,489.644989,435.493500,1590670
2013-03-15,489.000000,502.500000,486.029999,500.730011,445.352600,3093410
2013-03-18,498.000000,503.000000,494.500000,500.250000,444.925629,2528290
2013-03-19,500.494995,500.494995,490.000000,490.934998,436.640839,2170700
2013-03-20,489.899994,501.934998,486.605011,499.260010,444.045135,1901160
2013-03-21,500.010010,505.000000,488.500000,491.269989,436.938751,1570570
2013-03-22,489.899994,500.000000,487.799988,495.369995,440.585327,1153710
2013-03-25,497.500000,500.130005,485.799988,487.904999,433.945923,1665560
2013-03-26,488.000000,492.674988,487.500000,490.325012,436.098297,1162070
2013-03-28,489.464996,492.500000,484.709991,491.725006,437.343445,1029400
2013-04-01,492.200012,498.200012,488.100006,495.494995,440.696503,688780
2013-04-02,495.494995,496.989990,487.579987,489.035004,434.950897,520130
2013-04-03,489.000000,491.394989,484.084991,488.510010,434.484009,758590
2013-04-04,484.299988,489.679993,477.500000,478.859985,425.901215,574890
2013-04-05,478.500000,483.000000,473.230011,476.755005,424.029083,734940
2013-04-08,477.000000,478.795013,461.100006,462.244995,411.123718,906040
2013-04-09,463.799988,466.755005,451.160004,453.160004,403.043457,935710
2013-04-10,458.859985,458.859985,447.654999,453.619995,403.452606,700260
2013-04-11,458.600006,459.790009,451.114990,455.464996,405.093567,713140
2013-04-12,457.799988,471.885010,454.100006,466.200012,414.641327,963060
2013-04-15,465.200012,470.505005,462.000000,464.209991,412.871399,527360
2013-04-16,463.500000,471.890015,463.500000,468.769989,416.927094,855260
2013-04-17,469.000000,470.700012,464.000000,465.035004,413.605194,1930760
2013-04-18,465.100006,468.959991,459.475006,464.950012,413.529541,540750
2013-04-22,466.010010,474.000000,461.250000,464.714996,413.320618,655860
2013-04-23,469.475006,469.475006,461.535004,464.945007,413.525146,421830
2013-04-25,466.200012,468.850006,464.000000,465.214996,413.765289,1946230
2013-04-26,470.200012,478.445007,469.220001,470.554993,418.514679,2005270
2013-04-29,471.000000,476.700012,467.700012,471.375000,419.244019,1219140
2013-04-30,471.589996,471.649994,463.105011,468.125000,416.353424,494960
2013-05-02,467.000000,474.989990,467.000000,472.734985,420.453583,1284490
2013-05-03,472.799988,473.904999,467.890015,469.524994,417.598572,438070
2013-05-06,470.524994,489.399994,470.524994,485.595001,431.891327,894460
2013-05-07,489.000000,494.899994,486.505005,490.000000,435.809174,1010350
2013-05-08,493.899994,493.899994,484.114990,485.355011,431.677948,686830
2013-05-09,487.000000,492.515015,459.000000,467.095001,415.437347,3269420
2013-05-10,466.700012,466.700012,460.399994,463.875000,412.573456,1607860
2013-05-13,472.010010,478.894989,468.519989,469.950012,417.976624,745550
2013-05-14,471.299988,478.500000,470.350006,474.899994,422.379150,908190
2013-05-15,475.299988,484.799988,475.299988,482.445007,429.089783,895580
2013-05-16,480.000000,490.899994,480.000000,486.149994,432.384979,853000
2013-05-17,486.700012,489.899994,478.600006,481.279999,428.053589,675110
2013-05-20,484.894989,484.894989,476.570007,477.359985,424.567078,445210
2013-05-21,475.200012,482.500000,472.399994,478.494995,425.576569,523650
2013-05-22,479.524994,485.149994,476.045013,483.565002,430.085876,403560
2013-05-23,475.500000,483.019989,475.500000,480.000000,426.915161,597040
2013-05-24,481.005005,482.500000,476.230011,480.494995,427.355347,505090
2013-05-27,480.700012,484.024994,477.100006,482.605011,429.232025,785040
2013-05-28,483.000000,487.500000,480.234985,482.170013,428.845154,663290
2013-05-29,485.399994,486.000000,477.989990,481.529999,428.275970,339930
2013-05-30,479.100006,494.899994,479.100006,491.359985,437.018799,693880
2013-05-31,491.000000,492.989990,485.019989,486.309998,432.527313,582840
2013-06-03,484.309998,485.989990,465.500000,469.429993,417.514130,928510
2013-06-04,470.000000,475.619995,466.015015,468.029999,416.268951,702350
2013-06-05,469.399994,471.119995,464.200012,467.524994,415.819794,428150
2013-06-06,464.190002,465.945007,460.500000,462.005005,445.706909,478640
2013-06-07,459.200012,465.809998,456.000000,457.679993,441.534515,514400
2013-06-10,458.515015,461.385010,452.500000,453.725006,437.719025,1006600
2013-06-11,453.000000,454.500000,446.635010,448.970001,433.131775,1084780
2013-06-12,448.500000,452.000000,444.010010,449.609985,433.749207,726820
2013-06-13,446.554993,452.234985,442.660004,444.420013,428.742279,585410
2013-06-14,446.500000,459.484985,446.399994,455.950012,439.865509,586880
2013-06-17,454.100006,463.480011,452.500000,457.535004,441.394623,609850
2013-06-18,455.209991,460.700012,453.309998,457.524994,441.384949,637000
2013-06-19,455.325012,462.000000,455.325012,461.054993,444.790436,538200
2013-06-20,456.600006,459.500000,451.500000,457.364990,441.230530,957840
2013-06-21,454.000000,460.575012,451.220001,455.769989,439.691864,882670
2013-06-24,452.010010,455.950012,437.010010,439.320007,423.822174,869780
2013-06-25,437.309998,442.720001,429.470001,436.149994,420.764038,1410210
2013-06-26,437.000000,452.899994,436.600006,449.299988,433.450104,934730
2013-06-27,455.899994,469.989990,450.774994,453.809998,437.801056,1677620
2013-06-28,456.200012,465.200012,454.500000,463.649994,447.293884,1249300
2013-07-01,460.609985,474.024994,460.000000,471.250000,454.625732,1020000
2013-07-02,468.209991,473.500000,466.500000,467.760010,451.258911,530990
2013-07-03,466.000000,468.250000,454.700012,457.130005,441.003906,630880
2013-07-04,460.334991,462.000000,452.734985,456.519989,440.415375,303550
